photo,scale,reference
longlake_pc1,102.6018,White (2012)
cheak1,88,Menounos and Clague (2008)
cheak2,46,Menounos and Clague (2008)
suzielake_1,47.03,Spooner et al. (1997)
suzielake_2,26.7,Spooner et al. (1997)
whistler_gc4,290.25,Dunnington (2015)
whistler_gc8,310.23,Dunnington (2015)
crevice_lake,14.77,Rosenbaum et al. (2010)
cheak3,49,Menounos et al. (2005)
ds_unpubl1,87.74,Dunnington and Spooner (unpublished data)
ds_unpubl2,68.36,Dunnington and Spooner (unpublished data)
ds_unpubl3,82,Dunnington and Spooner (unpublished data)
ds_unpubl4,61.87,Dunnington and Spooner (unpublished data)